symbol,tier,category,notes
SMCI,2,equity,Explosive momentum (Mega-cap/Institutional Momentum)
DHI,2,equity,D.R. Horton - Homebuilder (High-Beta/Retail Volatility)
LEN,2,equity,Lennar - Homebuilder (High-Beta/Retail Volatility)
NBIS,2,equity,Nebius - Cloud computing (Thematic/Sector Momentum)
DAL,2,equity,Cyclical (High-Beta/Retail Volatility)
CRWV,2,equity,AI cloud / GPU infrastructure (Thematic/Sector Momentum)
BLDR,2,equity,Builders FirstSource - Homebuilding (Thematic/Sector Momentum)
SNDK,2,equity,Western Digital - Storage (Thematic/Sector Momentum)
WDC,2,equity,Western Digital - Storage (High-Beta/Retail Volatility)
HOOD,2,equity,Retail options flow (Thematic/Sector Momentum)
PHM,2,equity,PulteGroup - Homebuilder (High-Beta/Retail Volatility)
OKLO,2,equity,Nuclear theme (Thematic/Sector Momentum)
SOFI,2,equity,Retail momentum (High-Beta/Retail Volatility)
ASTS,2,equity,Astra Space - Aerospace (Thematic/Sector Momentum)
CRDO,2,equity,Credo Technology - High-speed connectivity (Thematic/Sector Momentum)
RVMD,2,equity,Revolution Medicines - Biotech (Thematic/Sector Momentum)
RKLB,2,equity,Rocket Lab - Aerospace (Thematic/Sector Momentum)
IONQ,2,equity,IonQ - Quantum computing (High-Beta/Retail Volatility)
HIMS,2,equity,Retail momentum (High-Beta/Retail Volatility)
KTOS,2,equity,Kratos Defense - Defense (Thematic/Sector Momentum)
TOL,2,equity,Toll Brothers - Homebuilder (High-Beta/Retail Volatility)
BE,2,equity,Bloom Energy - Clean hydrogen / fuel cells (Thematic/Sector Momentum)
CLSK,2,equity,Crypto miner (High-Beta/Retail Volatility)
APLD,2,equity,Applied Digital - Data centers (Thematic/Sector Momentum)
CIFR,2,equity,Crypto miner (High-Beta/Retail Volatility)
OPEN,2,equity,Opendoor - Real estate tech (Thematic/Sector Momentum)
AEHR,2,equity,Aehr Test Systems - Semiconductor test (Thematic/Sector Momentum)
RGTI,2,equity,Speculative (High-Beta/Retail Volatility)
WULF,2,equity,Crypto miner (High-Beta/Retail Volatility)
FLY,2,equity,Firefly Aerospace - Aerospace (Thematic/Sector Momentum)
QBTS,2,equity,D-Wave Quantum - Quantum computing (High-Beta/Retail Volatility)
IREN,2,equity,Crypto miner (High-Beta/Retail Volatility)
FIG,2,equity,FIG Inc. - Fintech / capital markets platform (Thematic/Sector Momentum)
